image_id,filename,width,height,aspect_ratio,file_size_bytes,image_format,color_mode,readable,in_master_csv,error_notes
ARC_0033,ARC_0033.jpg,789,1000,0.79,164792,JPEG,RGB,True,True,
ARC_0034,ARC_0034.jpg,1024,768,1.33,442251,JPEG,RGB,True,True,
ARC_0035,ARC_0035.jpg,1024,768,1.33,390983,JPEG,RGB,True,True,
ARC_0036,ARC_0036.jpg,1024,768,1.33,331851,JPEG,RGB,True,True,
ARC_0037,ARC_0037.jpg,1024,768,1.33,310042,JPEG,RGB,True,True,
ARC_0038,ARC_0038.jpg,1024,768,1.33,297958,JPEG,RGB,True,True,
ARC_0039,ARC_0039.jpg,768,1024,0.75,256274,JPEG,RGB,True,True,
ARC_0040,ARC_0040.jpg,1024,768,1.33,251152,JPEG,RGB,True,True,
ARC_0041,ARC_0041.jpg,1024,768,1.33,206763,JPEG,RGB,True,True,
ARC_0042,ARC_0042.jpg,768,1024,0.75,189312,JPEG,RGB,True,True,
ARC_0043,ARC_0043.jpg,1036,768,1.35,222363,JPEG,RGB,True,True,
ARC_0044,ARC_0044.jpg,1045,768,1.36,340983,JPEG,RGB,True,True,
