style,image_id_1,image_id_2,similarity,flag
Brutalism architecture,ARC_0015,ARC_0017,0.7002,MODERATE_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0019,0.7797,HIGH_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0020,0.8077,HIGH_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0021,0.735,MODERATE_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0024,0.7985,HIGH_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0025,0.7708,HIGH_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0026,0.7784,HIGH_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0027,0.7493,MODERATE_SIMILARITY
Brutalism architecture,ARC_0015,ARC_0028,0.7642,HIGH_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0017,0.759,HIGH_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0018,0.8067,HIGH_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0020,0.7598,HIGH_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0021,0.7698,HIGH_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0023,0.7284,MODERATE_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0024,0.7069,MODERATE_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0026,0.7639,HIGH_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0027,0.7044,MODERATE_SIMILARITY
Brutalism architecture,ARC_0016,ARC_0028,0.7391,MODERATE_SIMILARITY
Brutalism architecture,ARC_0017,ARC_0018,0.8569,VERY_HIGH_SIMILARITY
Brutalism architecture,ARC_0017,ARC_0020,0.7356,MODERATE_SIMILARITY
Brutalism architecture,ARC_0017,ARC_0026,0.7391,MODERATE_SIMILARITY
Brutalism architecture,ARC_0018,ARC_0020,0.7602,HIGH_SIMILARITY
Brutalism architecture,ARC_0018,ARC_0021,0.7369,MODERATE_SIMILARITY
Brutalism architecture,ARC_0018,ARC_0023,0.7204,MODERATE_SIMILARITY
Brutalism architecture,ARC_0018,ARC_0024,0.7334,MODERATE_SIMILARITY
Brutalism architecture,ARC_0018,ARC_0026,0.7778,HIGH_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0021,0.8544,VERY_HIGH_SIMILARITY
